LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h_r,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_0h_r,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_0h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
681.0179443,0.004332902376,681.0179443,0.001400745939,681.0179443,0.003065988421,681.0179443,-0.0008336594328,681.0179443,0.00697979331,681.0179443,-0.003378661815,
680.0065918,0.003930029925,680.0065918,0.001425807364,680.0065918,0.002831062768,680.0065918,-0.0008485409198,680.0065918,0.006822542287,680.0065918,-0.003369877348,
678.9949951,0.003947531804,678.9949951,0.001378776273,678.9949951,0.002670644084,678.9949951,-0.0008681754116,678.9949951,0.006601108704,678.9949951,-0.003300828161,
677.9829712,0.004136724863,677.9829712,0.001681386144,677.9829712,0.002892635763,677.9829712,-0.0003297138319,677.9829712,0.006928790361,677.9829712,-0.00302858348,
677.0068359,0.003323734505,677.0068359,0.001696900232,677.0068359,0.002327680355,677.0068359,-0.001046188758,677.0068359,0.006694973446,677.0068359,-0.003430645913,
675.9942017,0.002833173377,675.9942017,0.001282003243,675.9942017,0.001857661526,675.9942017,-0.001056982903,675.9942017,0.006808842532,675.9942017,-0.003607458202,
675.0174561,0.003041536082,675.0174561,0.001225901884,675.0174561,0.001809231937,675.0174561,-0.0008481792174,675.0174561,0.006842711475,675.0174561,-0.003385802265,
674.0042725,0.002987109823,674.0042725,0.001759118401,674.0042725,0.001831457368,674.0042725,-0.0007868414978,674.0042725,0.006229476538,674.0042725,-0.003125741379,
672.9906006,0.003190226853,672.9906006,0.001624141936,672.9906006,0.001771490206,672.9906006,-0.000714744383,672.9906006,0.006881975103,672.9906006,-0.003018198069,
672.0130005,0.003236724297,672.0130005,0.001802031649,672.0130005,0.002098407829,672.0130005,-0.0004737136187,672.0130005,0.006464146543,672.0130005,-0.003159253392,
670.9987793,0.003114845138,670.9987793,0.002004907001,670.9987793,0.00207814551,670.9987793,-0.0003929265076,670.9987793,0.00692810677,670.9987793,-0.002807249082,
669.984314,0.003242931096,669.984314,0.001956643071,669.984314,0.0023527171,669.984314,-0.0004266499891,669.984314,0.006877188571,669.984314,-0.003231819486,
669.0056763,0.003126734402,669.0056763,0.001606759615,669.0056763,0.002407766879,669.0056763,-0.0007571254973,669.0056763,0.006819886621,669.0056763,-0.00339438091,
667.9906006,0.002703488804,667.9906006,0.001636925736,667.9906006,0.002830072772,667.9906006,-0.0007421374903,667.9906006,0.006747184787,667.9906006,-0.003470708383,
667.0114136,0.002643635729,667.0114136,0.001246046624,667.0114136,0.00280982838,667.0114136,-0.0009125047363,667.0114136,0.006799560506,667.0114136,-0.003469681367,
665.9956665,0.002480240073,665.9956665,0.001261752914,665.9956665,0.002537987893,665.9956665,-0.001138317864,665.9956665,0.006487925071,665.9956665,-0.003829103662,
