LN46_0.75_1_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_2h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
615.0012207,0.02092249691,615.0012207,0.002671712078,615.0012207,0.004675648641,615.0012207,0.002538951347,
614.006897,0.02084266953,614.006897,0.002175720409,614.006897,0.004973233677,614.006897,0.002487998456,
613.0122681,0.02111771144,613.0122681,0.002521740738,613.0122681,0.005130340345,613.0122681,0.002962687984,
612.0174561,0.0213452857,612.0174561,0.002909548348,612.0174561,0.005174531136,612.0174561,0.002823454794,
610.9855347,0.02094037086,610.9855347,0.0028748638,610.9855347,0.005310196429,610.9855347,0.003057594178,
609.9900513,0.02145783976,609.9900513,0.002793414518,609.9900513,0.005309986882,609.9900513,0.00306113949,
608.9944458,0.0216101706,608.9944458,0.003057020716,608.9944458,0.005828619935,608.9944458,0.003256258322,
607.9985352,0.02195242792,607.9985352,0.003210462863,607.9985352,0.005859238096,607.9985352,0.003422789974,
607.0023193,0.02194581181,607.0023193,0.003463676199,607.0023193,0.006206289865,607.0023193,0.003828534624,
606.0059204,0.02137946524,606.0059204,0.003159770044,606.0059204,0.00598601019,606.0059204,0.003812761279,
605.0091553,0.02250507474,605.0091553,0.003623918165,605.0091553,0.006420743652,605.0091553,0.003970363177,
604.012146,0.02265758067,604.012146,0.003713042475,604.012146,0.006250275299,604.012146,0.003911092412,
603.0148926,0.02294354327,603.0148926,0.004102359992,603.0148926,0.006750839297,603.0148926,0.004337948747,
602.017395,0.02294570021,602.017395,0.003851203248,602.017395,0.006790068001,602.017395,0.004351335578,
600.982605,0.0227691941,600.982605,0.003961376846,600.982605,0.006966956891,600.982605,0.00430131983,
599.9846191,0.02333733067,599.9846191,0.004426304251,599.9846191,0.00754380459,599.9846191,0.005002194084,
598.9862671,0.0232641045,598.9862671,0.004260250367,598.9862671,0.007699973416,598.9862671,0.005042574834,
597.9876709,0.02344174124,597.9876709,0.004741461482,597.9876709,0.008039270528,597.9876709,0.005191375967,
596.9888306,0.02380806021,596.9888306,0.004763601813,596.9888306,0.008111634292,596.9888306,0.005504939239,
595.9896851,0.02436019853,595.9896851,0.005313131493,595.9896851,0.008783609606,595.9896851,0.005817522295,
594.9903564,0.02428176254,594.9903564,0.005178408232,594.9903564,0.008659346029,594.9903564,0.00619452633,
593.9907227,0.02481169999,593.9907227,0.005536898039,593.9907227,0.009112281725,593.9907227,0.006457630545,
592.9908447,0.02476198599,592.9908447,0.005839770194,592.9908447,0.009518273175,592.9908447,0.006543054711,
591.9907227,0.02533103526,591.9907227,0.006248121615,591.9907227,0.009751788341,591.9907227,0.006956461351,
590.9902954,0.02555970289,590.9902954,0.006095860153,590.9902954,0.009977933951,590.9902954,0.007064373698,
589.989563,0.02623339929,589.989563,0.00663593458,589.989563,0.01033648476,589.989563,0.007460579742,
588.9886475,0.02606390789,588.9886475,0.006571568549,588.9886475,0.01089003682,588.9886475,0.007701843977,
587.9874878,0.02638493851,587.9874878,0.00690601347,587.9874878,0.01112296339,587.9874878,0.007922653109,
586.9860229,0.02652855031,586.9860229,0.007120602764,586.9860229,0.0113063287,586.9860229,0.008299352601,
585.984314,0.02698446251,585.984314,0.007456392515,585.984314,0.0120395273,585.984314,0.00878878776,
584.9823608,0.02723911218,584.9823608,0.007775337901,584.9823608,0.01238002162,584.9823608,0.009302073158,
584.0172119,0.02825834788,584.0172119,0.007941740565,584.0172119,0.01248961035,584.0172119,0.009394221939,
583.0147705,0.02809253894,583.0147705,0.008561227471,583.0147705,0.01331339125,583.0147705,0.009931979701,
582.0120239,0.02842206508,582.0120239,0.008815255947,582.0120239,0.01389820222,582.0120239,0.01055444777,
581.0090332,0.02910140902,581.0090332,0.009256058373,581.0090332,0.0141043216,581.0090332,0.01115100924,
580.0058594,0.02933434211,580.0058594,0.009398586117,580.0058594,0.01458259765,580.0058594,0.01134270336,
579.0023804,0.0296331346,579.0023804,0.009971470572,579.0023804,0.01522761583,579.0023804,0.01193255372,
577.9985962,0.02987811156,577.9985962,0.01009423006,577.9985962,0.01541430503,577.9985962,0.0121120289,
576.9945679,0.02959957346,576.9945679,0.01040971,576.9945679,0.01600831747,576.9945679,0.01248697285,
575.9902954,0.03064553812,575.9902954,0.01091822702,575.9902954,0.01654545963,575.9902954,0.01321373601,
574.9858398,0.03150560707,574.9858398,0.0113183381,574.9858398,0.01722935773,574.9858398,0.01364655234,
574.0183105,0.03164120764,574.0183105,0.01174583845,574.0183105,0.01789660938,574.0183105,0.01431912743,
573.0132446,0.03246023878,573.0132446,0.01209217217,573.0132446,0.01818217896,573.0132446,0.01444850117,
572.0079956,0.03262621537,572.0079956,0.01245122217,572.0079956,0.01883473247,572.0079956,0.01526338141,
571.0025024,0.0329166986,571.0025024,0.01308288891,571.0025024,0.01965740509,571.0025024,0.01585415378,
569.9967041,0.03434860706,569.9967041,0.01356273796,569.9967041,0.02018281072,569.9967041,0.0164925959,
568.9907837,0.03446511552,568.9907837,0.01416510716,568.9907837,0.02099234052,568.9907837,0.01702960953,
567.984436,0.03466043249,567.984436,0.01448353287,567.984436,0.02190990001,567.984436,0.01786882617,
567.0153198,0.03558061272,567.0153198,0.01499451417,567.0153198,0.02216998115,567.0153198,0.01808550209,
566.0084839,0.03596941009,566.0084839,0.01551945694,566.0084839,0.02305585891,566.0084839,0.01905448735,
565.0015259,0.03718953207,565.0015259,0.0162061993,565.0015259,0.02412225306,565.0015259,0.01987253688,
563.9942627,0.03773676232,563.9942627,0.01667291671,563.9942627,0.02463213354,563.9942627,0.02037348785,
562.9868164,0.03766787425,562.9868164,0.01718946919,562.9868164,0.02555253729,562.9868164,0.02113581076,
