LN46_0.75_1_0.5mL_s_0.5mL_Ti_2mL_H2O_DF6_6h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_2mL_H2O_DF6_6h,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_2mL_H2O_DF6_6h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_2mL_H2O_DF6_6h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
636.0014038,0.00100823713,636.0014038,0.001481778687,636.0014038,0.0007650602493,636.0014038,0.001363065676,
635.0129395,0.0009351270855,635.0129395,0.001592184068,635.0129395,0.0007971128798,635.0129395,0.001547680818,
633.9875488,0.0007050586282,633.9875488,0.001527002547,633.9875488,0.0006403470761,633.9875488,0.001253419439,
632.9985352,0.0009208334377,632.9985352,0.001572880545,632.9985352,0.0008309315308,632.9985352,0.001141413115,
632.0092163,0.0007982280222,632.0092163,0.00163287227,632.0092163,0.0006299775559,632.0092163,0.001323597156,
630.9829102,0.0009926956845,630.9829102,0.00170165603,630.9829102,0.0009236350306,630.9829102,0.0013450447,
629.993042,0.001142139779,629.993042,0.001804267173,629.993042,0.001088963123,629.993042,0.001505831606,
629.0028687,0.001108322875,629.0028687,0.001658206922,629.0028687,0.000902701111,629.0028687,0.001714649959,
628.0123901,0.001148991752,628.0123901,0.001823242987,628.0123901,0.0009781925473,628.0123901,0.001634041546,
626.9849854,0.0007122407551,626.9849854,0.001766863745,626.9849854,0.0008879156667,626.9849854,0.00131066679,
625.9939575,0.001067917328,625.9939575,0.002108266344,625.9939575,0.00144723407,625.9939575,0.001866838546,
625.0026855,0.00117494713,625.0026855,0.001925154822,625.0026855,0.001114447601,625.0026855,0.001696224557,
624.0111084,0.001310043619,624.0111084,0.002293692902,624.0111084,0.001635704422,624.0111084,0.001858415431,
622.9824829,0.0009778293315,622.9824829,0.0019819187,622.9824829,0.001001750701,622.9824829,0.001560748089,
621.9904175,0.001318170456,621.9904175,0.002216931665,621.9904175,0.001469570794,621.9904175,0.002017676132,
620.9980469,0.0009813318029,620.9980469,0.001978824148,620.9980469,0.001494116732,620.9980469,0.001828753855,
620.0054321,0.0009026491898,620.0054321,0.001993516693,620.0054321,0.0011863939,620.0054321,0.001980462344,
619.0124512,0.001018382143,619.0124512,0.002346210647,619.0124512,0.00158397411,619.0124512,0.00188501121,
617.9824829,0.001430689939,617.9824829,0.002552725375,617.9824829,0.001673512277,617.9824829,0.00222333218,
616.9890137,0.001126515679,616.9890137,0.00229952205,616.9890137,0.00158049271,616.9890137,0.002099136123,
615.9951782,0.001394019928,615.9951782,0.002520803362,615.9951782,0.001680710469,615.9951782,0.00228122808,
615.0012207,0.001203266089,615.0012207,0.002496329602,615.0012207,0.001661480987,615.0012207,0.002301630098,
614.006897,0.001708490774,614.006897,0.002844403265,614.006897,0.002165600425,614.006897,0.002844872186,
613.0122681,0.00152071612,613.0122681,0.002959508216,613.0122681,0.002277402673,613.0122681,0.002709896769,
612.0174561,0.001411627396,612.0174561,0.002598399529,612.0174561,0.002376453951,612.0174561,0.002686584368,
610.9855347,0.001758286613,610.9855347,0.003010959597,610.9855347,0.002459178912,610.9855347,0.002765695099,
609.9900513,0.001638536691,609.9900513,0.003162638284,609.9900513,0.002350140596,609.9900513,0.002847842639,
608.9944458,0.001735778991,608.9944458,0.003069560044,608.9944458,0.002523407107,608.9944458,0.002933237469,
607.9985352,0.002061161213,607.9985352,0.003332629567,607.9985352,0.002506509423,607.9985352,0.002959794831,
607.0023193,0.002332677133,607.0023193,0.003413527738,607.0023193,0.002872674959,607.0023193,0.003459553467,
606.0059204,0.00207525841,606.0059204,0.003460675478,606.0059204,0.002798703266,606.0059204,0.003293738002,
605.0091553,0.002249664161,605.0091553,0.003669261234,605.0091553,0.002942020306,605.0091553,0.003231821349,
604.012146,0.002056349535,604.012146,0.003315491835,604.012146,0.0028542527,604.012146,0.003343298566,
603.0148926,0.002304622671,603.0148926,0.003694453975,603.0148926,0.003145950614,603.0148926,0.003623213386,
602.017395,0.002588712145,602.017395,0.004003149457,602.017395,0.003372802865,602.017395,0.003923813347,
600.982605,0.002831375459,600.982605,0.004292352591,600.982605,0.003720875131,600.982605,0.004224882461,
599.9846191,0.002873378573,599.9846191,0.004406795837,599.9846191,0.00375267677,599.9846191,0.004170778207,
598.9862671,0.003013409674,598.9862671,0.004196235444,598.9862671,0.004153006244,598.9862671,0.004477197304,
597.9876709,0.00357074989,597.9876709,0.004806263838,597.9876709,0.004541646224,597.9876709,0.004823119845,
596.9888306,0.002945799381,596.9888306,0.004452691879,596.9888306,0.004311306868,596.9888306,0.004419060424,
595.9896851,0.003358819988,595.9896851,0.004732485395,595.9896851,0.004620153923,595.9896851,0.004854714498,
594.9903564,0.003622273682,594.9903564,0.005214010831,594.9903564,0.004872096237,594.9903564,0.005078323185,
593.9907227,0.003980107605,593.9907227,0.00528200157,593.9907227,0.005057580769,593.9907227,0.005504834466,
592.9908447,0.003953304607,592.9908447,0.005340044387,592.9908447,0.005201147404,592.9908447,0.005374637898,
591.9907227,0.004014305305,591.9907227,0.005360748153,591.9907227,0.005322774872,591.9907227,0.005650279578,
590.9902954,0.004532857332,590.9902954,0.005940792151,590.9902954,0.00582263805,590.9902954,0.005720253568,
589.989563,0.004494904075,589.989563,0.005868893582,589.989563,0.005751021672,589.989563,0.006106387358,
588.9886475,0.004789407831,588.9886475,0.006302327849,588.9886475,0.006051418371,588.9886475,0.006687087473,
587.9874878,0.005045481492,587.9874878,0.006370672956,587.9874878,0.006529469043,587.9874878,0.006780418567,
586.9860229,0.005129214376,586.9860229,0.006604709662,586.9860229,0.006714138202,586.9860229,0.006788700819,
585.984314,0.005486850161,585.984314,0.007022962905,585.984314,0.007377739064,585.984314,0.007331954781,
584.9823608,0.005803906359,584.9823608,0.007068530656,584.9823608,0.007038221695,584.9823608,0.007529186085,
584.0172119,0.00599866081,584.0172119,0.007326268125,584.0172119,0.00767391501,584.0172119,0.007599674165,
583.0147705,0.006367967464,583.0147705,0.007882874459,583.0147705,0.008178576827,583.0147705,0.008294735104,
582.0120239,0.006442523561,582.0120239,0.008111740462,582.0120239,0.008402029984,582.0120239,0.008535777219,
581.0090332,0.006446753163,581.0090332,0.008243761957,581.0090332,0.008799063042,581.0090332,0.008937081322,
580.0058594,0.007118550129,580.0058594,0.008605214767,580.0058594,0.009089971893,580.0058594,0.009101682343,
579.0023804,0.007054796442,579.0023804,0.008856151253,579.0023804,0.009460753761,579.0023804,0.009221418761,
577.9985962,0.00727485586,577.9985962,0.009089205414,577.9985962,0.009782499634,577.9985962,0.009652523324,
576.9945679,0.007690777536,576.9945679,0.009664354846,576.9945679,0.01033680327,576.9945679,0.01024821773,
575.9902954,0.007914270274,575.9902954,0.009825021029,575.9902954,0.01045213453,575.9902954,0.01031941362,
574.9858398,0.008395458572,574.9858398,0.01034072693,574.9858398,0.01077979058,574.9858398,0.01103084534,
