LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h_r,Unnamed: 3
Wavelength (nm),Abs
734.9985352,-0.0005990022328
734.005188,-0.0001835445
733.0115356,-0.0002449157182
732.0174561,-4.260621427E-005
730.9875488,3.712206671E-005
729.9928589,-1.299456198E-005
728.9976807,0.0002660079917
728.0023193,0.0001634488726
727.0065308,0.0002606722701
726.010437,0.0004957920755
725.0139771,0.0007930413703
724.0171509,0.0008972537471
722.984436,0.0007331395755
721.9869385,0.0007326728664
720.9890747,0.0009546097717
719.9909058,0.0009233496967
718.9923096,0.001010338776
717.9935913,0.0009504330228
716.9943848,0.0008967350004
715.994812,0.001095269225
714.9949341,0.001170067349
713.994751,0.001084784977
712.9941406,0.001069422462
711.9932861,0.001637081616
710.9921265,0.001520378399
709.9904785,0.00116542133
708.9885864,0.001634405344
707.9863892,0.001203655498
706.9838257,0.00147396035
706.0167236,0.001565112616
705.0135498,0.001877653645
704.0099487,0.001650177641
703.0061035,0.001448792405
702.0018311,0.001592521789
700.9973755,0.00142967701
699.9924927,0.00164830673
698.9872437,0.00191722461
698.0175781,0.001770632574
697.0117798,0.001252770424
696.0056152,0.001428430434
694.9990845,0.0016584408
693.9921875,0.001890704851
692.9850464,0.0008987842011
692.0135498,0.001262194244
691.0057373,0.001552616712
689.9975586,0.001545706415
688.9891357,0.001710673794
688.0162964,0.001630611718
687.0072021,0.001548771863
685.9978027,0.001645968179
684.9880371,0.00116209907
684.0139771,0.00128091278
683.0036621,0.001672784681
681.9929199,0.00176647387
681.0179443,0.001400745939
680.0065918,0.001425807364
678.9949951,0.001378776273
677.9829712,0.001681386144
677.0068359,0.001696900232
675.9942017,0.001282003243
675.0174561,0.001225901884
674.0042725,0.001759118401
672.9906006,0.001624141936
672.0130005,0.001802031649
670.9987793,0.002004907001
669.984314,0.001956643071
669.0056763,0.001606759615
667.9906006,0.001636925736
667.0114136,0.001246046624
665.9956665,0.001261752914
665.0159302,0.001649969723
663.9995728,0.001420924789
662.9829102,0.001446480863
662.0021362,0.001895618741
660.9849243,0.00113899936
660.0036621,0.001677436172
658.9857788,0.001715143793
658.0039063,0.001401083544
656.9853516,0.001630741637
656.0029297,0.001252770424
654.9838257,0.001557552721
654.0007935,0.001651191036
653.0174561,0.002005141228
651.9974365,0.001978486078
651.0135498,0.002052916447
649.992981,0.001492350362
649.0084229,0.00171124551
647.9871826,0.001739157713
647.0021362,0.001962415874
646.0167847,0.00196202565
644.9946899,0.001735337195
644.008728,0.001812767121
642.9860229,0.001630040118
641.9995117,0.001841023797
641.0126953,0.001704020891
639.9891357,0.001850460423
639.00177,0.001690689358
638.0141602,0.001407679869
636.989624,0.001805124921
636.0014038,0.001759742154
635.0129395,0.001858181437
633.9875488,0.001748774084
632.9985352,0.002085376298
632.0092163,0.001814378775
630.9829102,0.0020122407
629.993042,0.001517391065
629.0028687,0.001706723589
628.0123901,0.001900220639
626.9849854,0.001837592339
625.9939575,0.001920890645
625.0026855,0.001918420661
624.0111084,0.001874221838
622.9824829,0.002001578454
621.9904175,0.001825374551
620.9980469,0.001909814542
620.0054321,0.001688038697
619.0124512,0.001746174996
617.9824829,0.001705528121
616.9890137,0.001485778717
615.9951782,0.00194936234
615.0012207,0.001806268701
614.006897,0.001885895152
613.0122681,0.001667067874
612.0174561,0.001632898231
610.9855347,0.00156243681
609.9900513,0.001679151319
608.9944458,0.001676033018
607.9985352,0.001648826408
607.0023193,0.001797872712
606.0059204,0.001873571891
605.0091553,0.001845053164
604.012146,0.001688298536
603.0148926,0.001633521868
602.017395,0.001496454468
600.982605,0.001770034665
599.9846191,0.001919226605
598.9862671,0.0017229144
597.9876709,0.001652178471
596.9888306,0.002082307125
595.9896851,0.001879863441
594.9903564,0.001775752986
593.9907227,0.00199570111
592.9908447,0.001948244288
591.9907227,0.001874845824
590.9902954,0.001718444284
589.989563,0.001927988953
588.9886475,0.002256975975
587.9874878,0.002001682296
586.9860229,0.001942783827
585.984314,0.002119893674
584.9823608,0.001701266156
584.0172119,0.001885817153
583.0147705,0.001955004875
582.0120239,0.001925986842
581.0090332,0.001998899737
580.0058594,0.001827324159
579.0023804,0.001795767224
577.9985962,0.00212915428
576.9945679,0.002173066838
575.9902954,0.001957189292
574.9858398,0.002086807042
574.0183105,0.002060042694
573.0132446,0.002190029481
572.0079956,0.002163180849
571.0025024,0.002172364388
569.9967041,0.002259057714
568.9907837,0.002053904813
567.984436,0.002235535299
567.0153198,0.002078561578
566.0084839,0.002056375612
565.0015259,0.002039678162
563.9942627,0.002156833187
562.9868164,0.002237148583
562.0163574,0.0020650886
561.0084229,0.002297414234
560.0001221,0.002136308001
558.9916992,0.002319534542
557.9829712,0.002081292681
557.0114136,0.002249690238
556.0021973,0.002225023462
554.9927368,0.002304492518
553.9830933,0.002008651849
553.0105591,0.002348969458
552.0003052,0.002407272346
550.9899902,0.002262726659
550.0167847,0.002134981332
549.0058594,0.002090162365
547.9946899,0.002052500146
546.9833984,0.002375621116
546.0092773,0.00225793873
544.9974365,0.002260670997
543.9854126,0.002230825834
543.0105591,0.002063449938
541.9979858,0.002225361764
540.9851685,0.00243746792
540.0097046,0.002567671938
538.99646,0.002422057558
