LN46_0.75_1_0.5mL_s_0.5mL_Ti_1mL_H2O_DF4_3h,Unnamed: 1
Wavelength (nm),Abs
775.0015869,-0.005144634284,775.0015869,-0.002193000866,775.0015869,-0.004558994435,775.0015869,-0.0007565569831,
773.987793,-0.005082211457,773.987793,-0.002258621156,773.987793,-0.005294973962,773.987793,-0.0008311274578,
773.0085449,-0.005334149115,773.0085449,-0.002179968404,773.0085449,-0.005190575495,773.0085449,-0.00123997801,
771.9938965,-0.00541259069,771.9938965,-0.002099549631,771.9938965,-0.004410756752,771.9938965,-0.001240132959,
771.013916,-0.005373473745,771.013916,-0.002156838542,771.013916,-0.004726949148,771.013916,-0.000989011256,
769.9984741,-0.005601170938,769.9984741,-0.002253625309,769.9984741,-0.004421211313,769.9984741,-0.001365716686,
768.9827881,-0.004710202571,768.9827881,-0.00207579718,768.9827881,-0.005121456925,768.9827881,-0.0009935568087,
768.0015869,-0.005237841513,768.0015869,-0.002176568611,768.0015869,-0.004726641811,768.0015869,-0.001217159443,
766.9850464,-0.005413203966,766.9850464,-0.001931554521,766.9850464,-0.004603921901,766.9850464,-0.001352607738,
766.0032959,-0.005464894231,766.0032959,-0.002283856971,766.0032959,-0.005051918328,766.0032959,-0.001234196126,
764.9859619,-0.005103139672,764.9859619,-0.00162121118,764.9859619,-0.004575644154,764.9859619,-0.0008182090241,
764.0033569,-0.005580982659,764.0033569,-0.002306516748,764.0033569,-0.005257585552,764.0033569,-0.001091997488,
762.9852905,-0.005200141575,762.9852905,-0.0020473029,762.9852905,-0.004837142304,762.9852905,-0.0008553614025,
762.0020142,-0.005052788183,762.0020142,-0.002287565032,762.0020142,-0.004738522694,762.0020142,-0.001082960051,
760.9831543,-0.005409727339,760.9831543,-0.002053228673,760.9831543,-0.004905998707,760.9831543,-0.001245811582,
759.9991455,-0.004801609088,759.9991455,-0.002085535321,759.9991455,-0.00467737345,759.9991455,-0.001397816581,
759.0147095,-0.005313743837,759.0147095,-0.002289470518,759.0147095,-0.004824803211,759.0147095,-0.001348788501,
757.994812,-0.005335785449,757.994812,-0.002382469131,757.994812,-0.004859259352,757.994812,-0.001813403796,
757.0096436,-0.005293235183,757.0096436,-0.001944542979,757.0096436,-0.005047414917,757.0096436,-0.001144307666,
755.9889526,-0.005251038354,755.9889526,-0.002160959644,755.9889526,-0.00517272111,755.9889526,-0.001389817684,
755.0030518,-0.005420464557,755.0030518,-0.002251256024,755.0030518,-0.004942700732,755.0030518,-0.001552760485,
754.0168457,-0.005090756807,754.0168457,-0.002413361333,754.0168457,-0.005499452818,754.0168457,-0.001402461086,
752.9949951,-0.005525830202,752.9949951,-0.002484765137,752.9949951,-0.00536820665,752.9949951,-0.001830416964,
752.0080566,-0.005134248175,752.0080566,-0.002628772752,752.0080566,-0.005165763665,752.0080566,-0.001453030971,
